variable,p,d,q,AIC,BIC
sales,1,1,1,1484.2804776917164,1490.40963149522
sales,1,1,2,1457.0183692669073,1465.1905743382454
sales,1,2,1,1468.147472265988,1474.2235273381934
sales,1,2,2,1457.2029402333962,1465.3043469963368
sales,1,3,1,1455.759453615052,1461.7814531707495
sales,1,3,2,1442.8419742296246,1450.8713069705545
sales,2,1,1,1470.8049552589412,1478.9771603302793
sales,2,1,2,1457.8110237088342,1468.026280048007
sales,2,2,1,1469.0235531148305,1477.124959877771
sales,2,2,2,1452.7949754837987,1462.9217339374745
sales,2,3,1,1453.332407176864,1461.361739917794
sales,2,3,2,1444.7788434015893,1454.8155093277517
sales,3,1,1,1470.9056673177647,1481.1209236569375
sales,3,1,2,1466.5539868961046,1478.8122945031118
sales,3,2,1,1450.3722954225823,1460.4990538762581
sales,3,2,2,1448.7566879600058,1460.9087981044167
sales,3,3,1,1447.734280013664,1457.7709459398263
sales,3,3,2,1429.1047876399784,1441.1487867513733
sales_log,1,1,1,-17.361722755732817,-11.232568952229165
sales_log,1,1,2,-39.9241504906968,-31.751945419358602
sales_log,1,2,1,-12.254788373126203,-6.178733300920754
sales_log,1,2,2,-14.676960836136846,-6.575554073196248
sales_log,1,3,1,3.9882444299474504,10.010243985644863
sales_log,1,3,2,-8.230693464815452,-0.2013607238855677
sales_log,2,1,1,-31.2923170438318,-23.1201119724936
sales_log,2,1,2,-28.860683241371554,-18.645426902198803
sales_log,2,2,1,-10.972894226983115,-2.8714874640425165
sales_log,2,2,2,-24.703601189670138,-14.57684273599439
sales_log,2,3,1,5.968644258727105,13.99797699965699
sales_log,2,3,2,-6.337358723533228,3.6993072026291287
sales_log,3,1,1,-33.693142407124526,-23.477886067951776
sales_log,3,1,2,-40.42102749340013,-28.16271988639283
sales_log,3,2,1,-22.05086488962757,-11.92410643595182
sales_log,3,2,2,-26.558736092346408,-14.40662594793551
sales_log,3,3,1,-2.3013858725988054,7.735280053563551
sales_log,3,3,2,-13.828150164361322,-1.7841510529664966
sales_diff2,1,1,1,1508.1947238969065,1514.32387770041
sales_diff2,1,1,2,1497.7398092554226,1505.9120143267608
sales_diff2,1,2,1,1516.5504671431038,1522.6265222153093
sales_diff2,1,2,2,1506.5701197976098,1514.6715265605503
sales_diff2,1,3,1,1531.3427217755666,1537.364721331264
sales_diff2,1,3,2,1522.9698377406817,1530.9991704816116
sales_diff2,2,1,1,1505.6498547715157,1513.8220598428538
sales_diff2,2,1,2,1499.5535645119057,1509.7688208510785
sales_diff2,2,2,1,1509.038762315411,1517.1401690783516
sales_diff2,2,2,2,1506.283112215985,1516.409870669661
sales_diff2,2,3,1,1523.2289419196106,1531.2582746605406
sales_diff2,2,3,2,1517.5646273779191,1527.6012933040815
sales_diff2,3,1,1,1497.4002231983136,1507.6154795374864
sales_diff2,3,1,2,1482.053228676133,1494.3115362831402
sales_diff2,3,2,1,1481.4628479413395,1491.5896063950154
sales_diff2,3,2,2,1473.0645574697432,1485.2166676141542
sales_diff2,3,3,1,1491.0624883066034,1501.0991542327658
sales_diff2,3,3,2,1463.8609464407216,1475.9049455521165
